Store No,Store Name,Address,Postcode,Latitude,Longitude
2,Wakefield Teall Street,"30/32 Teall Street, Wakefield",WF1 1QF,53.683558,-1.495857
4,Barnsley Market Street,"1 Market Street, Barnsley",S70 1SL,53.551999,-1.481391
5,Dewsbury,"44 Princess of Wales Precinct, Dewsbury",WF13 1NH,53.69045,-1.628733
6,Crossgates,"Unit 26, Arndale Shopping Centre, Crossgates",LS15 8EU,53.806058,-1.451039
7,Castleford Carlton Lanes,"Unit 25, Carlton Shopping Centre, Castleford",WF10 1AD,53.725986,-1.350626
11,Chesterfield Pavements,"Unit 21, Middle Pavements Shopping Centre, Chesterfield",S40 1PA,53.234866,-1.429299
12,Halifax,"Unit 5, The Wool Shops, Halifax",HX1 1RU,53.723442,-1.858009
13,Sheffield Pinstone Street,"117 Pinstone Street, Sheffield",S1 2HL,53.378581,-1.47096
20,Hyde,"Unit 10, The Mall, Claredon Square Shopping Centre, Hyde",SK14 2QT,53.45095,-2.078155
21,Scarborough,"120 Westborough, 3 Balmoral Centre, Scarborough",YO11 1LP,54.282203,-0.401265
23,Middleton,"Unit G19, Middleton Shopping Centre, Middleton, Manchester",M24 4EL,53.548259,-2.201049
28,Hull Whitefriargate,"Unit 45, Whitefriargate, Hull",HU1 2HN,53.743405,-0.337194
30,Sunderland,"Unit 46-47, The Bridges Shopping Centre, Sunderland",SR1 3LE,54.906065,-1.384116
31,Keighley,"14-16 Cooke Lane, Airdale Shopping Centre, Keighley",BD21 3PS,53.866147,-1.908074
34,Preston Fishergate Centre,"Unit 3.5, Fishergate Centre, Preston",PR1 8HJ,53.756782,-2.705424
36,Bridlington,"Unit 9, Promenades Shopping Centre, Bridlington",YO15 2DX,54.083143,-0.189712
43,Burton on Trent Cooper Square,"Unit 12, Underhill Walk, Coopers Shopping Centre, Burton",DE14 1DE,52.802512,-1.632796
44,Kilmarnock,"48 King Street, Kilmarnock",KA1 1NP,55.608837,-4.49636
46,East Kilbride Plaza,"Unit 22 (38), The Plaza, East Kilbride",G74 1LW,55.759946,-4.179908
48,Clydebank,"Unit 94, Sylvania Way, Clyde Shopping Centre, Clydebank",G81 2TL,55.90459,-4.403665
49,Rhyl,"59 High Street, Rhyl",LL18 1TH,53.320965,-3.489796
54,Oldham,"31 The Spindles, Market Place, Oldham",OL1 1HE,53.541119,-2.114853
57,Greenock,"Unit 34, Hamilton Way, Oak Mall Shopping Centre, Greenock",PA15 1RH,55.94862,-4.758711
60,Stirling,"Units 43A, Kings Mall, Thistle Centre, Stirling",FK8 2EE,56.1173,-3.935696
61,Chesterfield Burlington Street,"22/24 Burlington Street, Chesterfield",S40 1RR,53.235993,-1.426377
62,Newcastle under Lyme Roebuck Centre,"56 High Street (Unit 1), The Roebuck Centre, Newcastle",ST5 1QL,53.011043,-2.228127
67,Gloucester,"Unit 6, Market Way, The Eastgate Shopping Centre, Gloucester",GL1 1QH,51.864175,-2.245085
68,York,"24/25 Ousegate, York",YO1 8RX,53.957956,-1.081472
69,Winsford,"18 Dingle Walk, Winsford Cross Shopping Centre, Winsford",CW7 1BA,53.191687,-2.527614
70,Bristol 65 Broadmead,"65 Broadmead, Bristol",BS1 3EA,51.45739,-2.589482
72,Newport 172 Commercial Street,"172 Commercial Street, Newport",NP20 1JN,51.587217,-2.99617
74,Ayr,"83 High Street, Ayr",KA7 1QL,55.462671,-4.630491
75,Perth,"Unit 39,  St John's Centre, Perth",PH1 5UX,56.395957,-3.431061
76,Hartlepool,"Unit B, Middleton Grange Shopping Centre, Hartlepool",TS24 7RR,54.683585,-1.213147
77,Merthyr Tydfil,"Unit 3 (No 2), Graham Way, St Tydfil Shopping Centre, Merthyr",CF47 8EG,51.74505,-3.37936
