US State,Address,Latitude,Longitude,STATUS
New York,"445 Albee Square W, Brooklyn, NY 11201",40.690765,-73.983336,NOT LIVE
New York,"1051, Valley Stream, NY 11581",40.652253,-73.711775,NOT LIVE
New York,"630 Old Country Rd, Garden City, NY 11530",40.739672,-73.613543,NOT LIVE
New York,"5100 Kings Plz, Brooklyn, NY 11234",40.609945,-73.921949,NOT LIVE
New York,"162-10 Jamaica Ave, Queens, NY 11432",40.704361,-73.797258,NOT LIVE
New York,"90-15 Queens Blvd, Queens, NY 11373",40.733991,-73.870695,NOT LIVE
New York,"9 Smith Haven Mall, Lake Grove, NY 11755",40.864051,-73.130482,NOT LIVE
New Jersey,"651 Kapkowski Rd Suite 200, Elizabeth, NJ 07201",40.659945,-74.171135,NOT LIVE
New Jersey,"50 Mall Dr W, Jersey City, NJ 07310",40.728498,-74.037814,NOT LIVE
New Jersey,"1 American Dream Wy D350, East Rutherford, NJ 07073",40.808986,-74.068645,NOT LIVE
New York,"2655 Richmond Ave, Staten Island, NY 10314",40.581928,-74.167253,NOT LIVE
New Jersey,"3710 US-9, Freehold, NJ 07728",40.254624,-74.302791,NOT LIVE
New York,"150 West 34th Street New York, NY 10001",40.750524,-73.989903,NOT LIVE
Texas,"North East Mall, 1101 Melbourne Rd, Hurst, TX 76053",32.832541,-97.197869,NOT LIVE
Maryland,"3500 East-West Hwy, Hyattsville, MD 20782",38.96858,-76.957431,NOT LIVE
Connecticut,"Fair Mall, 7 Backus Ave, Danbury, CT 06810",41.380786,-73.478676,NOT LIVE
Virginia,"1961 Chain Bridge Road Mall #J010L, McLean, VA 22102",38.917858,-77.222918,NOT LIVE
Maryland,"7000 Arundel Mills Circle, Arundel Mills Cir Suite F1, Hanover, MD 21076",39.157365,-76.724852,NOT LIVE
Illinois,"5 Woodfield Mall, Schaumburg, IL 60173",42.047479,-88.03775,NOT LIVE
Illinois,"35 N State St, Chicago, IL 60602",41.882976,-87.627192,NOT LIVE
Virginia,"2700 Potomac Mills Cir, Woodbridge, VA 22192",38.641461,-77.295467,NOT LIVE
Florida,"The Florida Mall, 8001 S Orange Blossom Trl suite 1420b, Orlando, FL 32809",28.448143,-81.397166,NOT LIVE
Michigan,"4612 Baldwin Rd, 933 Great Lakes Crossing Cir, Auburn Hills, MI 48326",42.714744,-83.307353,NOT LIVE
New York,"1 Walden Galleria, Buffalo, NY 14225",42.912361,-78.762745,NOT LIVE
Massachusetts,"250 Granite St, Braintree, MA 02184",42.222113,-71.024123,NOT LIVE
Massachusetts,"10 Summer St, Boston, MA 02110",42.355427,-71.059906,NOT LIVE
Massachusetts,"75 Middlesex Turnpike, Burlington, MA 01803",42.482252,-71.213295,NOT LIVE
New York,"1 Crossgates Mall Rd, Albany, NY 12203",42.688836,-73.849017,NOT LIVE
Pennsylvania,"Mall, 160 N Gulph Rd, King of Prussia, PA 19406",40.08838,-75.392581,NOT LIVE
Pennsylvania,"1033 Market St, Philadelphia, PA 19107",39.951443,-75.157281,NOT LIVE
Pennsylvania,"2500 W Moreland Rd, Willow Grove, PA 19090",40.140183,-75.123582,NOT LIVE
Texas,"2200 S 10th St, McAllen, TX 78503",26.187267,-98.235879,NOT LIVE
New York,"150 West 34th Street New York, NY 10001",40.750524,-73.989903,NOT LIVE
